item_id,order_id,product_name,category,quantity,unit_price
I0000001,O000001,Itself Cup,Toys,6,8.77
I0000002,O000001,Tonight Authority,Toys,5,465.98
I0000003,O000001,Court Century,Sports,2,304.07
I0000004,O000001,Figure Bring,Beauty,7,158.51
I0000005,O000002,Public Lose,Home & Garden,3,387.15
I0000006,O000002,Prepare Local,Electronics,8,487.97
I0000007,O000002,Expert School,Sports,8,476.36
I0000008,O000002,Prevent Million,Sports,1,198.84
I0000009,O000002,Cup Full,Home & Garden,10,274.63
I0000010,O000003,After Civil,Books,1,182.89
I0000011,O000003,Appear Nor,Sports,6,415.09
I0000012,O000003,Age Cultural,Electronics,5,248.66
I0000013,O000003,Blue Father,Beauty,3,282.29
I0000014,O000003,Exist Car,Home & Garden,9,238.46
I0000015,O000004,Senior Left,Clothing,6,245.22
I0000016,O000004,Short Across,Books,7,331.36
I0000017,O000004,Early Believe,Home & Garden,2,356.17
I0000018,O000004,City Administration,Electronics,7,412.53
I0000019,O000005,Minute Director,Sports,6,100.67
I0000020,O000005,Guess Kitchen,Electronics,8,43.17
I0000021,O000005,Forget Stock,Toys,7,113.38
I0000022,O000006,Successful Moment,Beauty,8,220.36
I0000023,O000006,Hot Major,Sports,1,493.76
I0000024,O000006,Same Strong,Beauty,5,121.41
I0000025,O000006,Almost Give,Beauty,9,60.13
I0000026,O000006,Be Threat,Home & Garden,1,126.03
I0000027,O000007,Social Child,Books,8,389.03
I0000028,O000007,Arrive Exactly,Home & Garden,8,131.25
I0000029,O000008,Stand Including,Toys,10,12.4
I0000030,O000008,Away Of,Toys,6,342.49
I0000031,O000008,Many Course,Electronics,5,15.79
I0000032,O000009,Dark War,Electronics,10,382.9
I0000033,O000009,Thought Enough,Clothing,9,157.57
I0000034,O000009,Technology I,Beauty,2,302.74
I0000035,O000009,Them Actually,Clothing,7,75.87
I0000036,O000010,Campaign Special,Sports,2,343.19
I0000037,O000010,Send Energy,Beauty,9,290.26
I0000038,O000010,Image Spend,Toys,10,286.07
I0000039,O000010,Level End,Beauty,7,223.09
I0000040,O000010,Sing Along,Electronics,7,31.82
I0000041,O000011,Decide Magazine,Beauty,4,450.62
I0000042,O000011,Simple Spend,Clothing,8,464.07
I0000043,O000011,Between Near,Toys,9,80.65
I0000044,O000012,Reduce Detail,Clothing,6,294.44
I0000045,O000012,Material Improve,Home & Garden,1,104.48
I0000046,O000012,Responsibility Forget,Sports,3,392.11
I0000047,O000012,Would Future,Books,5,325.36
I0000048,O000013,Cold Professional,Home & Garden,5,255.85
I0000049,O000013,Should And,Sports,3,16.42
I0000050,O000013,Size Write,Sports,2,261.53
I0000051,O000013,Often Near,Home & Garden,2,158.29
I0000052,O000014,Can Environment,Clothing,10,238.38
I0000053,O000014,Medical Pull,Clothing,7,13.83
I0000054,O000014,Fire Decide,Toys,1,364.0
I0000055,O000014,Herself Very,Books,10,97.97
I0000056,O000015,Area Treat,Books,1,135.71
I0000057,O000016,Reflect Discover,Sports,10,245.42
I0000058,O000016,Budget Eat,Beauty,7,60.17
I0000059,O000016,Property Leader,Toys,7,215.8
I0000060,O000017,Garden Administration,Books,10,6.95
I0000061,O000017,Computer Study,Home & Garden,7,315.07
I0000062,O000017,Fact Pattern,Toys,7,249.71
I0000063,O000017,Call Individual,Books,3,152.37
I0000064,O000018,Strategy Eight,Electronics,10,119.27
I0000065,O000018,Act And,Sports,3,459.39
I0000066,O000018,Party Step,Electronics,10,213.4
I0000067,O000019,Rock May,Sports,4,193.61
I0000068,O000020,Rise Pick,Sports,10,311.3
I0000069,O000021,Clear Hot,Home & Garden,6,22.78
I0000070,O000021,Spend Behind,Beauty,7,46.48
I0000071,O000021,Energy Coach,Clothing,9,28.25
I0000072,O000021,Money Benefit,Beauty,10,240.52
I0000073,O000021,Rich Present,Books,3,448.17
I0000074,O000022,Ground Word,Electronics,8,102.83
I0000075,O000022,Song Process,Books,2,391.22
I0000076,O000023,As As,Sports,9,91.37
I0000077,O000023,Heart Quite,Electronics,6,201.05
I0000078,O000024,Class Science,Electronics,7,486.75
I0000079,O000024,Not Strong,Toys,8,13.02
I0000080,O000024,Both Car,Sports,7,353.98
I0000081,O000024,Method Early,Beauty,8,431.77
I0000082,O000025,Free Open,Books,1,103.81
I0000083,O000025,Story Quite,Electronics,4,236.63
I0000084,O000026,Something Hand,Beauty,3,121.73
I0000085,O000026,Support Wait,Books,4,384.84
I0000086,O000026,Leg Significant,Beauty,6,418.3
I0000087,O000026,Data Against,Electronics,3,38.07
I0000088,O000027,Risk Huge,Clothing,5,219.72
I0000089,O000027,Help Shake,Home & Garden,5,102.5
I0000090,O000028,Center Enough,Toys,9,487.2
I0000091,O000028,Way Among,Sports,3,398.89
I0000092,O000028,Memory Seat,Home & Garden,1,324.63
I0000093,O000028,Left Operation,Toys,9,319.4
I0000094,O000028,Financial Occur,Books,3,68.68
I0000095,O000029,Same Might,Toys,1,496.78
I0000096,O000029,Customer Our,Home & Garden,3,130.35
I0000097,O000030,Culture Of,Home & Garden,7,475.29
I0000098,O000030,Happen Game,Home & Garden,5,222.17
I0000099,O000030,Sign Management,Home & Garden,9,435.06
